node,adj_concord,adj_most_conflict,other_conflict,the_rest
0,100.0,0.0,0.0,0.0
1,18.484848484848484,3.6363636363636362,76.66666666666667,1.2121212121212122
2,24.545454545454547,1.8181818181818181,61.51515151515151,12.121212121212121
3,12.727272727272727,3.0303030303030303,83.63636363636363,0.6060606060606061
4,1.5151515151515151,4.848484848484849,90.6060606060606,3.0303030303030303
5,2.1212121212121215,3.3333333333333335,91.21212121212122,3.3333333333333335
6,7.878787878787878,3.939393939393939,79.39393939393939,8.787878787878787
7,6.363636363636363,3.6363636363636362,81.21212121212122,8.787878787878787
8,3.0303030303030303,4.848484848484849,91.51515151515152,0.6060606060606061
9,3.0303030303030303,4.242424242424243,92.12121212121212,0.6060606060606061
10,1.8181818181818181,4.848484848484849,91.81818181818183,1.5151515151515151
11,10.0,3.0303030303030303,83.63636363636363,3.3333333333333335
12,15.757575757575756,6.666666666666667,71.81818181818181,5.757575757575758
13,17.575757575757574,3.0303030303030303,76.96969696969697,2.4242424242424243
14,26.666666666666668,2.4242424242424243,44.24242424242424,26.666666666666668
15,88.18181818181819,2.1212121212121215,8.787878787878787,0.9090909090909091
16,9.393939393939393,0.9090909090909091,88.48484848484848,1.2121212121212122
17,3.6363636363636362,1.5151515151515151,85.75757575757575,9.090909090909092
18,10.0,3.0303030303030303,86.36363636363636,0.6060606060606061
19,7.575757575757576,4.848484848484849,86.06060606060606,1.5151515151515151
20,20.303030303030305,9.696969696969697,67.57575757575758,2.4242424242424243
21,3.6363636363636362,4.848484848484849,89.6969696969697,1.8181818181818181
22,6.0606060606060606,6.363636363636363,84.54545454545455,3.0303030303030303
23,16.666666666666664,6.666666666666667,74.24242424242425,2.4242424242424243
24,0.0,1.5151515151515151,98.18181818181819,0.30303030303030304
25,0.30303030303030304,1.5151515151515151,97.57575757575758,0.6060606060606061
26,0.0,2.727272727272727,87.57575757575758,9.696969696969697
27,1.2121212121212122,3.0303030303030303,85.45454545454545,10.303030303030303
28,3.3333333333333335,2.727272727272727,74.54545454545455,19.393939393939394
29,0.0,3.6363636363636362,95.15151515151516,1.2121212121212122
30,0.0,3.6363636363636362,95.15151515151516,1.2121212121212122
31,1.8181818181818181,2.727272727272727,93.63636363636364,1.8181818181818181
32,10.303030303030303,4.848484848484849,81.81818181818183,3.0303030303030303
33,2.4242424242424243,5.151515151515151,86.96969696969697,5.454545454545454
34,16.666666666666664,5.454545454545454,71.51515151515152,6.363636363636363
35,0.0,2.727272727272727,96.06060606060606,1.2121212121212122
36,0.0,3.0303030303030303,95.45454545454545,1.5151515151515151
37,0.30303030303030304,4.242424242424243,94.24242424242424,1.2121212121212122
38,7.2727272727272725,3.939393939393939,86.06060606060606,2.727272727272727
39,0.30303030303030304,5.454545454545454,92.72727272727272,1.5151515151515151
40,4.848484848484849,3.939393939393939,87.27272727272727,3.939393939393939
41,1.5151515151515151,4.242424242424243,92.12121212121212,2.1212121212121215
42,6.666666666666667,3.939393939393939,86.66666666666667,2.727272727272727
43,0.30303030303030304,1.2121212121212122,98.48484848484848,0.0
44,1.2121212121212122,1.2121212121212122,95.45454545454545,2.1212121212121215
45,2.4242424242424243,1.2121212121212122,95.75757575757575,0.6060606060606061
46,6.363636363636363,1.8181818181818181,89.39393939393939,2.4242424242424243
47,6.969696969696971,4.848484848484849,81.81818181818183,6.363636363636363
48,16.666666666666664,4.242424242424243,63.63636363636363,15.454545454545453
49,1.5151515151515151,4.545454545454546,92.72727272727272,1.2121212121212122
50,3.0303030303030303,5.151515151515151,90.0,1.8181818181818181
51,12.424242424242424,5.151515151515151,79.0909090909091,3.3333333333333335
52,2.1212121212121215,1.8181818181818181,94.84848484848484,1.2121212121212122
53,11.515151515151516,2.4242424242424243,76.36363636363637,9.696969696969697
54,13.030303030303031,2.727272727272727,66.66666666666666,17.575757575757574
55,0.30303030303030304,2.4242424242424243,95.75757575757575,1.5151515151515151
56,3.0303030303030303,3.0303030303030303,91.51515151515152,2.4242424242424243
57,18.181818181818183,3.939393939393939,72.12121212121212,5.757575757575758
58,0.30303030303030304,3.6363636363636362,94.54545454545455,1.5151515151515151
59,4.545454545454546,3.939393939393939,86.96969696969697,4.545454545454546
60,11.818181818181818,4.545454545454546,76.06060606060606,7.575757575757576
61,0.6060606060606061,3.939393939393939,93.03030303030303,2.4242424242424243
62,9.696969696969697,4.545454545454546,79.39393939393939,6.363636363636363
63,0.30303030303030304,3.3333333333333335,92.72727272727272,3.6363636363636362
64,2.1212121212121215,4.242424242424243,89.6969696969697,3.939393939393939
65,12.424242424242424,3.3333333333333335,76.06060606060606,8.181818181818182
66,1.2121212121212122,1.2121212121212122,96.36363636363636,1.2121212121212122
67,9.393939393939393,0.9090909090909091,46.666666666666664,43.03030303030303
68,50.0,3.0303030303030303,43.63636363636363,3.3333333333333335
69,2.1212121212121215,1.2121212121212122,95.45454545454545,1.2121212121212122
